"name" "continent"	"date"	"isUpdated"	"confirmAdd"	"confirmAddCut"	"confirm"	"suspect"	"dead"	"heal"	"nowConfirm"	"confirmCompare"	"nowConfirmCompare"	"healCompare"	"deadCompare"
"新加坡"	"亚洲"	"12.14"	"False"	"5"	"0"	"58325"	"0"	"29"	"58208"	"88"	"5"	"5"	"0"	"0"
"加纳"	"非洲"	"12.14"	"False"	"81"	"0"	"53014"	"0"	"327"	"51761"	"926"	"81"	"-4"	"85"	"0"
"阿富汗"	"亚洲"	"12.14"	"False"	"191"	"0"	"48718"	"0"	"1969"	"38252"	"8497"	"191"	"185"	"2"	"4"
"阿尔巴尼亚"	"欧洲"	"12.14"	"False"	"788"	"0"	"48530"	"0"	"1003"	"24820"	"22707"	"788"	"474"	"300"	"14"
"韩国"	"亚洲"	"12.14"	"False"	"718"	"0"	"43484"	"0"	"587"	"32102"	"10795"	"718"	"423"	"288"	"7"
"萨尔瓦多"	"北美洲"	"12.14"	"False"	"486"	"0"	"41880"	"0"	"1205"	"38087"	"2588"	"486"	"61"	"420"	"5"
"黑山"	"欧洲"	"12.14"	"False"	"478"	"0"	"41426"	"0"	"582"	"30493"	"10351"	"478"	"-405"	"879"	"4"
"挪威"	"欧洲"	"12.14"	"False"	"200"	"0"	"41003"	"0"	"393"	"17998"	"22612"	"200"	"194"	"0"	"6"
"卢森堡"	"欧洲"	"12.14"	"False"	"0"	"0"	"40755"	"0"	"392"	"31678"	"8685"	"0"	"0"	"0"	"0"
"斯里兰卡"	"亚洲"	"12.14"	"False"	"496"	"0"	"33146"	"0"	"152"	"24309"	"8685"	"496"	"-23"	"516"	"3"
"芬兰"	"欧洲"	"12.14"	"False"	"300"	"0"	"31110"	"0"	"461"	"20000"	"10649"	"300"	"292"	"0"	"8"
"澳大利亚"	"大洋洲"	"12.14"	"False"	"8"	"0"	"28039"	"0"	"908"	"25684"	"1447"	"8"	"-1"	"9"	"0"
"乌干达"	"非洲"	"12.14"	"False"	"0"	"0"	"27532"	"0"	"221"	"9826"	"17485"	"0"	"0"	"0"	"0"
"拉脱维亚"	"欧洲"	"12.14"	"False"	"210"	"0"	"25885"	"0"	"352"	"16869"	"8664"	"210"	"-14796"	"15003"	"3"
"喀麦隆"	"非洲"	"12.14"	"False"	"0"	"0"	"25143"	"0"	"443"	"23851"	"849"	"0"	"0"	"0"	"0"
"科特迪瓦"	"非洲"	"12.14"	"False"	"41"	"0"	"21680"	"0"	"133"	"21298"	"249"	"41"	"4"	"37"	"0"
"苏丹"	"非洲"	"12.14"	"False"	"239"	"0"	"21386"	"0"	"1347"	"12313"	"7726"	"239"	"150"	"86"	"3"
"爱沙尼亚"	"欧洲"	"12.14"	"False"	"330"	"0"	"18385"	"0"	"154"	"11121"	"7110"	"330"	"241"	"84"	"5"
"赞比亚"	"非洲"	"12.14"	"False"	"48"	"0"	"18322"	"0"	"367"	"17409"	"546"	"48"	"27"	"21"	"0"
"马达加斯加"	"非洲"	"12.14"	"False"	"0"	"0"	"17587"	"0"	"259"	"16992"	"336"	"0"	"0"	"0"	"0"
"塞内加尔"	"非洲"	"12.14"	"False"	"71"	"0"	"17146"	"0"	"350"	"16159"	"637"	"71"	"5"	"65"	"1"
